"","Sample_ID","collembola_biomass","juv_oribatids_biomass","oribatids_biomass","prostigs_biomass","astigmata_biomass","zerconidae_biomass","mesostigs_biomass","total_mesofauna_biomass"
"24","ExRes 30",0.00340123888609134,0.785802027236655,1.22057362182275,0.207572890988879,0.00226677891304864,0.00574759587348754,0,2.22536415372091
"25","ExRes 31",0,1.00530495803473,0.815451965833845,0.102795680483845,0,0,0,1.92355260435242
"26","ExRes 32",0.0223305637147586,0.609714274744159,1.63295575185491,0.223004180675818,0.00446470706471963,0.0452824609471963,0.0356322067383178,2.57338414573988
"27","ExRes 33",0.00962162543951342,0.429428342446938,0.651477499807886,0.133453284856334,0.00320619903305369,0,0.0383823435,1.26556929508372
"28","ExRes 34",0.0248031520845588,0.34729532817474,0.571000867478677,0.0825655617035035,0,0.00838273931029412,0,1.03404764875177
"29","ExRes 35",0.0370232416481707,0.468001631259864,1.0584406323995,0.296699010349175,0.00274159917317073,0.0486607794109756,0,1.91156689424085
"30","ExRes 36",0.00461714071010467,0.404059379398148,0.656513074685628,0.128080769362923,0.0061542499958132,0.00780229198285024,0,1.20722690613547
"31","ExRes 37",0,0.935166359233625,1.61186591742136,0.176099242304889,0,0.0983347906547048,0.0140688048745387,2.83553511448911
"32","ExRes 38",0,0.22010603035636,0.425746260839364,0.046513542558114,0,0,0,0.692365833753838
"33","ExRes 39",0.00602362264910714,2.35106533769722,2.56950390365404,0.20051636413708,0.00200724225178571,0,0,5.12911647038923
"34","ExRes 4",0,0.455357352782609,1.02758568211664,0.120284548619093,0.00361227717145558,0.0183184246553875,0.014414541100189,1.63957282644537
"35","ExRes 40",0.0135567110211584,1.23384259853664,1.78994598174167,0.263246857882092,0.00225874068995272,0.0229088573113475,0.018026695607565,3.34378644279042
"36","ExRes 41",0,0.842061933725981,1.10336838803728,0.021525888436908,0.00258578433518268,0,0,1.96954199453535
"37","ExRes 42",0.0188324754087028,0.67571467053243,1.11574882151006,0.313450868076355,0.00627551600558292,0.0477361903581281,0.0375630159704434,2.2153215578617
"38","ExRes 43",0.0134297160701405,0.564131240332553,1.40944944806212,0.0745088129033958,0,0,0.017857827264637,2.07937704463285
"39","ExRes 44",0.0660655387321429,1.36445452550864,2.23663934265841,0.366535289282834,0.0176119320156682,0.066984654212212,0,4.11829128240991
"40","ExRes 45",0.0298671289684896,1.93418174175651,2.173966844411,0.165704495363281,0.0199051523302083,0.113559921594141,0.059572595640625,4.49675788006426
"41","ExRes 5",0.22179808854237,1.93396117136744,2.5666930695666,1.02918572647574,0.451519404756118,0.129478541639451,0.160871144345992,6.4935071466937
"42","ExRes 6",0.0135460364455512,0.426763062322441,0.856051694235748,0.0501027765507874,0.00451392430795276,0.00763027294700787,0.0120083342393701,1.37061610104886
"43","ExRes 7",0.00374313887855744,0.471705038424282,0.456204348429439,0.0623014290660901,0.00249464050091384,0.00632535681638381,0,1.00277395211567
"44","ExRes 8",0.0248031520845588,0.616449207510164,1.41070802553555,0.357784100715182,0.00495906909264706,0.0419136965514706,0.0395776413944637,2.49619489288404
"45","ExRes 9",0.00668355333560606,0.210562971697552,0.678812220079545,0.0741614524702797,0.00668144973321678,0,0.017774573990676,0.994676221306876
