"","Label","X.Msgs","Obs.","Port.","X.Raw","IV.Date","Lin_Flux","Lin_FluxCV","Exp_Flux","Exp_FluxCV","Sampling_Time"
"92","ExRes 42",0,11,11,92,"9/29/21 1:52",-0.06,4.4,-0.06,4.4,"W1"
"93","Dummy",0,1,1,92,"10/5/21 15:50",0,95.4,0,77.4,"W2"
"94","ExRes 37",0,2,2,93,"10/5/21 15:52",0,28.5,0,19.4,"W2"
"95","ExRes 24",0,3,3,92,"10/5/21 15:55",0,2348.3,0,2348.3,"W2"
"96","ExRes 17",0,4,4,92,"10/5/21 15:57",0,241.2,0,241.2,"W2"
"97","ExRes 29",0,5,5,92,"10/5/21 15:59",0,9.4,0,7.3,"W2"
"98","ExRes 13",0,6,6,91,"10/5/21 16:02",0,6.2,0.01,4.2,"W2"
"99","ExRes 43",0,7,7,93,"10/5/21 16:04",0,6.2,0.01,5.1,"W2"
"100","ExRes 3",0,8,8,91,"10/5/21 16:06",0.01,5.9,0.01,4.9,"W2"
"101","ExRes 25",0,9,9,93,"10/5/21 16:09",0.01,5.6,0.01,4.5,"W2"
"102","ExRes 21",0,10,10,90,"10/5/21 16:11",0.05,25.8,0.05,25.8,"W2"
"103","ExRes 33",0,11,11,93,"10/5/21 16:13",0.02,6.7,0.07,1.8,"W2"
"104","Dummy",0,1,1,94,"10/5/21 17:01",0,6.3,0,4.6,"W2"
"105","ExRes 1",0,2,2,92,"10/5/21 17:04",0.06,3.3,0.09,2.3,"W2"
"106","ExRes 14",0,3,3,93,"10/5/21 17:06",0.01,3.9,0.01,3.1,"W2"
"107","ExRes 4",0,4,4,93,"10/5/21 17:08",0.06,3.3,0.08,2.4,"W2"
"108","ExRes 15",0,5,5,92,"10/5/21 17:11",0.05,3.4,0.07,2.4,"W2"
"109","ExRes 12",0,6,6,91,"10/5/21 17:13",0.54,2.4,0.75,1.8,"W2"
"110","ExRes 2",1,7,7,91,"10/5/21 17:15",-0.22,6,0,0,"W2"
"111","ExRes 34",0,8,8,92,"10/5/21 17:18",-0.02,29.1,-0.02,29.1,"W2"
"112","ExRes 30",0,9,9,92,"10/5/21 17:20",0.16,3.2,0.23,2.3,"W2"
"113","ExRes 6",0,10,10,92,"10/5/21 17:22",0.05,4.6,0.17,1.3,"W2"
"114","ExRes 40",0,11,11,92,"10/5/21 17:24",-0.02,14.8,-0.02,14.8,"W2"
"115","Dummy",1,1,1,91,"10/5/21 18:47",0,6.5,0,0,"W2"
"116","ExRes 36",0,2,2,92,"10/5/21 18:50",-0.01,7.6,-0.01,7.6,"W2"
"117","ExRes 19",0,3,3,93,"10/5/21 18:52",-0.01,6.9,0,55.7,"W2"
"118","ExRes 18",1,4,4,91,"10/5/21 18:54",0,16,0,0,"W2"
"119","ExRes 31",0,5,5,93,"10/5/21 18:56",0,14.4,-0.01,3.7,"W2"
"120","ExRes 7",0,6,6,92,"10/5/21 18:59",0,12.2,0,12.2,"W2"
