"","Sample_ID","n.bacterivore_biomass","n.fungivore_biomass","n.herbivore_biomass","n.omnivore_biomass","n.predator_biomass","total_microfauna_biomass"
"17","ExRes 17",0.00199647854323401,0.0100330269434539,9.68246751411228e-06,0.00217200214238008,0.00577555003281236,0.0199770576618803
"18","ExRes 17",0.000741747236548748,0.003727548204686,3.59730563892366e-06,0.000806959129287045,0.00214577726913515,0.00742203183965694
"19","ExRes 18",6.79175087301948e-05,0.000341310051806772,3.29384492584786e-07,7.38885849622729e-05,0.000196476426508347,0.000679592572007587
"20","ExRes 18",0.000387935600713147,0.00194951673659122,1.88139955934022e-06,0.000422041578513322,0.00112224670734429,0.00388174062316198
"21","ExRes 19",0.00208074549473415,0.0104564988598984,1.00911430910066e-05,0.00226367755748054,0.00601932324848301,0.0208202451605961
"22","ExRes 19",0.000440157700809147,0.00221195168190158,2.13466488463602e-06,0.000478854867928576,0.00127331837948679,0.00440428263012609
"23","ExRes 2",0.00404825313941474,0.0203439365573533,1.96331083267204e-05,0.00440416177849956,0.0117110642793615,0.0405074157546291
"24","ExRes 2",0.000360662552420586,0.00181245980238239,1.74913146910782e-06,0.000392370776629961,0.00104334936307039,0.00360884249450332
"25","ExRes 20",0.0025156400485885,0.0126420013243096,1.2200282908226e-05,0.00273680656048548,0.00727741603555333,0.0251718639689369
"26","ExRes 20",0.000829578269142374,0.0041689309179987,4.02326619968238e-06,0.000902511967361524,0.00239986090298996,0.00830088205749255
"27","ExRes 21",0.000111215745588317,0.000558899355971245,5.39371107876934e-07,0.000120993455453285,0.000321732535147294,0.00111284109216014
"28","ExRes 21",0.000310138217372299,0.00155855674063526,1.50409991871373e-06,0.000337404513987615,0.000897189102077413,0.00310328857407259
"29","ExRes 22",0.000732873413169911,0.00368295403193465,3.55426961087179e-06,0.000797305149555955,0.00212010646436717,0.00733323905902768
"30","ExRes 22",0.00261005794514898,0.0131164854119778,1.26581882632802e-05,0.00283952535719051,0.00755055460116728,0.0261166233154846
"31","ExRes 23",0.00348007726019864,0.0174886472159704,1.68775843510403e-05,0.00378603380958734,0.0100674061348897,0.0348221644206461
"32","ExRes 23",0.00103046443548739,0.00517845657823539,4.99751848316519e-06,0.00112105936179989,0.00298099818020111,0.0103109785557238
"33","ExRes 24",0.000791197052318665,0.00397605141833173,3.8371260148519e-06,0.000860756404572848,0.00228882908707749,0.00791683396230073
"34","ExRes 24",0.000210673771327455,0.00105871191612383,1.02171994478305e-06,0.000229195492341883,0.000609451532062053,0.00210803271185522
"35","ExRes 25",0.000616151080784301,0.00309638208519556,2.98819280762983e-06,0.000670320986934064,0.00178244409733384,0.00616529825024777
"36","ExRes 25",0.00142527255500105,0.00716251020806226,6.91224819786901e-06,0.00155057766757825,0.00412312618119532,0.0142614866118369
"37","ExRes 26",6.73182365943402e-05,0.000338298492526124,3.26478158826685e-07,7.32366268596646e-05,0.000194742810980333,0.000673596166960461
"38","ExRes 26",0.000286102505525946,0.00143776859323603,1.38753217501341e-06,0.000311255664153575,0.000827656946666414,0.00286278370958196
"39","ExRes 27",0.00500861383719722,0.0251700964922745,2.42906396032882e-05,0.00544895412055113,0.0144892615599616,0.0501169260099845
"40","ExRes 27",0.00118221335616727,0.005941049802681,5.7334662847401e-06,0.00128614953115711,0.00341998786370266,0.011829400553708
"41","ExRes 28",0.000771512374451989,0.00387712879074884,3.74165979778898e-06,0.000839341116818628,0.00223188390112291,0.00771986618314237
"42","ExRes 28",0.000214576879144459,0.00107832644492702,1.04064913126006e-06,0.000233441748115181,0.00062074270999981,0.00214708778218647
"43","ExRes 29",0.00107376742814676,0.00539606978202163,5.2075281630133e-06,0.00116816940620601,0.00310626804674802,0.0107442746631224
"44","ExRes 29",0.0002820206280152,0.00141725568204848,1.36773599612217e-06,0.000306814921863446,0.000815848611499967,0.0028219398434271
"45","ExRes 3",0.00352126160647318,0.0176956134552126,1.70773190770881e-05,0.00383083894342861,0.0101865470358943,0.0352342610410088
"46","ExRes 3",0.00915528017683026,0.0460085949835529,4.44010296004292e-05,0.00996018125291439,0.0264850222933252,0.0916090787066227
"47","ExRes 30",0.00030893697779797,0.00155252007720322,1.49827417959195e-06,0.000336097665517944,0.000893714073865142,0.00309126879438428
"48","ExRes 30",0.000208156824898276,0.00104606334976445,1.00951332622565e-06,0.000226457264548271,0.000602170336839146,0.00208284777605014
"49","ExRes 31",0.00101997328173243,0.0051257347352443,4.94663877010129e-06,0.00110964586151007,0.00295064865121716,0.010206002529704
"50","ExRes 31",0.000308134093188956,0.0015484852915843,1.49438037158149e-06,0.000335224194026467,0.000891391434212616,0.00308323501301234
"51","ExRes 32",0.000842510445720577,0.00423391978376253,4.0859843190579e-06,0.000916581096893962,0.0024372719901833,0.00843028331656038
"52","ExRes 32",0.000213908415346502,0.00107496717251292,1.03740723365489e-06,0.000232714515255009,0.000618808932087038,0.00214039903520147
"53","ExRes 33",0.000140811076545208,0.000707626600697821,6.82901741617339e-07,0.000153190707189679,0.000407347937956624,0.00140897632238933
"54","ExRes 33",0.000329111378905663,0.00165390374123883,1.59611544315268e-06,0.000358045731313916,0.000952075964792737,0.00329313681625114
"55","ExRes 34",0.000131996542341844,0.000663330377502204,6.40153252601343e-07,0.000143601229136597,0.000381848648981044,0.00132077679796169
"56","ExRes 34",0.00158945836403303,0.00798760329575571,7.70851208340784e-06,0.00172919813418653,0.00459809414814674,0.015904353942122
"57","ExRes 35",0.00429554462078171,0.0215866657135717,2.08324158489409e-05,0.00467319428533098,0.0124264460339831,0.0429818506536675
"58","ExRes 35",0.000733385666962731,0.00368552829256103,3.55675392542893e-06,0.000797862438958948,0.00212158834726541,0.00733836474574812
"59","ExRes 36",0.000789248291106057,0.00396625818823732,3.82767496555424e-06,0.000858636314906413,0.0022831915770108,0.00789733437126058
"60","ExRes 36",0.00014742802217118,0.000740879146272993,7.14992425127684e-07,0.000160389392156431,0.000426489892002017,0.00147518645260262
"61","ExRes 37",0.000253374912642904,0.00127330059917582,1.2288107822997e-06,0.000275650772682133,0.000732980321770994,0.00253530660627185
"62","ExRes 37",0.000869172168686418,0.00436790458704616,4.21528762029391e-06,0.000945586827808328,0.00251440085063214,0.00869706443417305
"63","ExRes 38",3.34622813480638e-05,0.000168160069384331,1.62284464913849e-07,3.64041712460321e-05,9.68019820662472e-05,0.000334828504044674
