"","Sample_ID","collembola_biomass","juv_oribatids_biomass","oribatids_biomass","prostigs_biomass","astigmata_biomass","zerconidae_biomass","mesostigs_biomass","total_mesofauna_biomass"
"54","ExRes 33",0.0224881912233333,1.003683498425,1.52266897994314,0.311914344213235,0.00749370440666667,0,0.0897093204941177,2.95795803870549
"55","ExRes 34",0.0248031520845588,0.34729532817474,0.571000867478677,0.0825655617035035,0,0.00838273931029412,0,1.03404764875177
"56","ExRes 34",0.298671289684896,4.18201457677083,6.87580211255573,0.994226972179688,0,0.100942152528125,0,12.4516571037193
"57","ExRes 35",0.216850415367857,2.74115241166492,6.19943798976849,1.73780848918803,0.0160579380142857,0.28501313655,0,11.1963203805536
"58","ExRes 35",0.0370232416481707,0.468001631259864,1.0584406323995,0.296699010349175,0.00274159917317073,0.0486607794109756,0,1.91156689424085
"59","ExRes 36",0.0247176239739224,2.16311098798491,3.51460878775668,0.685673773917026,0.0329464590293104,0.0417691665633621,0,6.46282679922522
"60","ExRes 36",0.00461714071010467,0.404059379398148,0.656513074685628,0.128080769362923,0.0061542499958132,0.00780229198285024,0,1.20722690613547
"61","ExRes 37",0,0.935166359233625,1.61186591742136,0.176099242304889,0,0.0983347906547048,0.0140688048745387,2.83553511448911
"62","ExRes 37",0,3.20797573863687,5.52931219773655,0.604087274235759,0,0.337325674271202,0.0482613433037975,9.72696222818418
"63","ExRes 38",0,0.22010603035636,0.425746260839364,0.046513542558114,0,0,0,0.692365833753838
"64","ExRes 38",0,0.865244395193965,1.67362323226509,0.182846339711207,0,0,0,2.72171396717026
"65","ExRes 39",0.0123057698754292,4.80303476714109,5.24928694480397,0.409638580812232,0.00410063223969957,0,0,10.4783666948724
"66","ExRes 39",0.00602362264910714,2.35106533769722,2.56950390365404,0.20051636413708,0.00200724225178571,0,0,5.12911647038923
"67","ExRes 4",0,2.29413371068571,5.17707453180667,0.606005011614286,0.0181989964161905,0.0922899680257143,0.0726218308761905,8.26032404942476
"68","ExRes 4",0,0.455357352782609,1.02758568211664,0.120284548619093,0.00361227717145558,0.0183184246553875,0.014414541100189,1.63957282644537
"69","ExRes 40",0.0477874063495833,4.34929515984167,6.30955958563938,0.927945174034375,0.00796206093208333,0.0807537220225,0.0635441020166667,11.7868472108363
"70","ExRes 40",0.0135567110211584,1.23384259853664,1.78994598174167,0.263246857882092,0.00225874068995272,0.0229088573113475,0.018026695607565,3.34378644279042
"71","ExRes 41",0,0.842061933725981,1.10336838803728,0.021525888436908,0.00258578433518268,0,0,1.96954199453535
"72","ExRes 41",0,5.27359126291102,6.91007829457246,0.13481043690572,0.0161940222347458,0,0,12.3346740166239
"73","ExRes 42",0.0769730035161074,2.76181365338423,4.5603424986552,1.28115153462081,0.0256495922644295,0.19510966394698,0.153529374,9.05456932038775
"74","ExRes 42",0.0188324754087028,0.67571467053243,1.11574882151006,0.313450868076355,0.00627551600558292,0.0477361903581281,0.0375630159704434,2.2153215578617
"75","ExRes 43",0.0573448876195,2.40884039622,6.01834914322525,0.3181526310975,0,0,0.07625292242,8.87893998058225
"76","ExRes 43",0.0134297160701405,0.564131240332553,1.40944944806212,0.0745088129033958,0,0,0.017857827264637,2.07937704463285
"77","ExRes 44",0.170669308391369,3.52484085756399,5.77798496853423,0.946882830647322,0.0454974910404762,0.173043690048214,0,10.6389191462256
"78","ExRes 44",0.0660655387321429,1.36445452550864,2.23663934265841,0.366535289282834,0.0176119320156682,0.066984654212212,0,4.11829128240991
"79","ExRes 45",0.0298671289684896,1.93418174175651,2.173966844411,0.165704495363281,0.0199051523302083,0.113559921594141,0.059572595640625,4.49675788006426
"80","ExRes 45",0.105219977283486,6.81399806270183,7.65874558031032,0.583766295591743,0.070124573346789,0.400064310937156,0.209870428678899,15.8417892288502
"81","ExRes 5",0.22179808854237,1.93396117136744,2.5666930695666,1.02918572647574,0.451519404756118,0.129478541639451,0.160871144345992,6.4935071466937
"82","ExRes 5",0.885946297492275,7.72497973506882,10.2523526542801,4.11096096361938,1.80354099315506,0.517186759020506,0.642580806910112,25.9375482095462
"83","ExRes 6",0.12649607563125,3.98521389080515,7.99401214470147,0.467871516319853,0.0421520872875,0.0712532841375,0.112136650617647,12.7991356495004
