"","Sample_ID","n.bacterivore_biomass","n.fungivore_biomass","n.herbivore_biomass","n.omnivore_biomass","n.predator_biomass","total_microfauna_biomass"
"29","ExRes 35",0.00429554462078171,0.0215866657135717,2.08324158489409e-05,0.00467319428533098,0.0124264460339831,0.0429818506536675
"30","ExRes 36",0.000789248291106057,0.00396625818823732,3.82767496555424e-06,0.000858636314906413,0.0022831915770108,0.00789733437126058
"31","ExRes 37",0.000869172168686418,0.00436790458704616,4.21528762029391e-06,0.000945586827808328,0.00251440085063214,0.00869706443417305
"32","ExRes 38",0.00013154138185101,0.000661043031372886,6.37945827592373e-07,0.000143106052484402,0.000380531929501799,0.0013162223952101
"33","ExRes 39",0.000884093579307644,0.00444289007351905,4.28765307300282e-06,0.000961820078071132,0.00255756653047132,0.00884637026136915
"34","ExRes 4",0.000726609537843672,0.00365147579234546,3.5238912381293e-06,0.000790490575628126,0.00210198589629565,0.00727056180211292
"35","ExRes 40",0.00413259174648588,0.0207677685689648,2.00421314168604e-05,0.00449591514888497,0.0119550447851815,0.0413513202495172
"36","ExRes 41",0.00142243053594821,0.00714822803416782,6.89846505091414e-06,0.00154748578788218,0.00411490459359573,0.0142330489515939
"37","ExRes 42",0.00404511819893507,0.0203281823473192,1.96179045773708e-05,0.00440075122472168,0.0117019953085721,0.0404760470795481
"38","ExRes 43",0.00122070402357737,0.00613447933114038,5.92013728005722e-06,0.00132802416705525,0.0035313363057767,0.0122145438275497
"39","ExRes 44",0.00563122391828846,0.0282989373906774,2.73101570955021e-05,0.00612630196111798,0.0162903906962913,0.0563468539663751
"40","ExRes 45",0.00482962027676826,0.0242705890968283,2.34225614864649e-05,0.00525422405543649,0.0139714567143688,0.0483258901434019
"41","ExRes 5",0.0147015969131685,0.0738808430681584,7.12994061467566e-05,0.0159941112815994,0.0425297876713977,0.147106338934324
"42","ExRes 6",0.00325371476872644,0.0163510938054293,1.57797776766231e-05,0.00353977029821712,0.00941256919738274,0.0325571480697556
"43","ExRes 7",0.000953675018419819,0.00479256197745342,4.62510725004471e-06,0.00103751888051192,0.00275885648888805,0.0095426123652732
"44","ExRes 8",0.004412680085229,0.0221753137983791,2.14004962488555e-05,0.00480062790117946,0.0127653035377739,0.0441539253225614
"45","ExRes 9",0.00182295401751045,0.00916100342592867,8.84091297353678e-06,0.00198322193089003,0.0052735663858391,0.0182407457601683
